texto,etiqueta,variante_limpia,instrumento_rol,notas,mismo_que
Carmen Arenas,CANTANTE,Carmen Arenas,,,
Carmen Bonet,CANTANTE,Carmen Bonet,,,
Carmen Fernández,CANTANTE,Carmen Fernández,,,Mª Carmen Fernández
Carmen Floria,CANTANTE,Carmen Floria,,,
Carmen Muñoz Aliaño,CANTANTE,Carmen Muñoz Aliaño,,,
Carmen Seoane,CANTANTE,Carmen Seoane,,,
Cayetano Peñalver,CANTANTE,Cayetano Peñalver,,,
Celestino Aguirre Sarobe,CANTANTE,Celestino Aguirre Sarobe,,,
Celia Gámez,CANTANTE,Celia Gámez,,,
Charo Leonís,CANTANTE,Charo Leonís,,,
Christine Spranz,CANTANTE,Christine Spranz,,,
Clara Winsor,CANTANTE,Clara Winsor,,,
Clarita Panach,CANTANTE,Clarita Panach,,,
Concha Agulló,CANTANTE,Concha Agulló,,,
Concha Martínez,CANTANTE,Concha Martínez,,,
Concha Panadés,CANTANTE,Concha Panadés,,,
Concha Piquer,CANTANTE,Concha Piquer,,,
Concha Sevilla,CANTANTE,Concha Sevilla,,,
Constantin Sadko,CANTANTE,Constantin Sadko,,,
Consuelo Macho,CANTANTE,Consuelo Macho,,,
Consuelo Obregón,CANTANTE,Consuelo Obregón,,,
Consuelo Rocamora,CANTANTE,Consuelo Rocamora,,,
Cortajarena,CANTANTE,Cortajarena,,,
Crisena Galatti,CANTANTE,Crisena Galatti,,,
Cuarteto Vocal Ruso Borodín,CANTANTE,Cuarteto Vocal Ruso Borodín,,,
Cándida Suárez,CANTANTE,Cándida Suárez,,,
Dagmara Renina,CANTANTE,Dagmara Renina,,,
Delfina Fuentes,CANTANTE,Delfina Fuentes,,,
Dionisia La Hera,CANTANTE,Dionisia La Hera,,,
Dolores de Luque,CANTANTE,Dolores de Luque,,,
Dolores Pitto Santaolalla,CANTANTE,Dolores Pitto Santaolalla,,,
Dorini de Diso,CANTANTE,Dorini de Diso,,,
Dorros de Yassy,CANTANTE,Dorros de Yassy,,,
Dugnen Eguilcoz,CANTANTE,Dugnen Eguilcoz,,,
Dusolina Giannini,CANTANTE,Dusolina Giannini,,,
"Eduardo García ""El Chato""",CANTANTE,Eduardo García,,Apodo: El Chato,
El niño de Valdepeñas,CANTANTE,El niño de Valdepeñas,,,
Elai Weiber,CANTANTE,Elai Weiber,,,
Elena Sadoven,CANTANTE,Elena Sadoven,,,
Elias Pierre,CANTANTE,Elias Pierre,,,
Elizabeth Day,CANTANTE,Elizabeth Day,,,
Emilia Iglesias,CANTANTE,Emilia Iglesias,,,
Emilio Sagi-Barba,CANTANTE,Emilio Sagi-Barba,,,
Emmy Buttikay,CANTANTE,Emmy Buttikay,,,
Encarnita Marzal,CANTANTE,Encarnita Marzal,,,
Enrique Beut,CANTANTE,Enrique Beut,barítono,,
Enrique de Rosas,CANTANTE,Enrique de Rosas,,,
"Enrique Lopez ""Petaca""",CANTANTE,Enrique Lopez,,Apodo: Petaca,
Esperanza González,CANTANTE,Esperanza González,,,
Esperanza Iris,CANTANTE,Esperanza Iris,,,
Esteban García Leoz,CANTANTE,Esteban García Leoz,,,
Estrella Pardo,CANTANTE,Estrella Pardo,,,
Estrella Rivera,CANTANTE,Estrella Rivera,,,
Estrellita Castro,CANTANTE,Estrellita Castro,,,
Eugenia Nardin,CANTANTE,Eugenia Nardin,,,
Fabio Ronchi,CANTANTE,Fabio Ronchi,,,
Felisa Herrero,CANTANTE,Felisa Herrero,,,
Fidela Campiña,CANTANTE,Fidela Campiña,,,
Francisco Campila,CANTANTE,Francisco Campila,,,
Francisco Muniesa,CANTANTE,Francisco Muniesa,,,
Francisco Roldán,CANTANTE,Francisco Roldán,,,
Franz Baumann,CANTANTE,Franz Baumann,,,
Gabriela Relle,CANTANTE,Gabriela Relle,,,
Gaby Delba,CANTANTE,Gaby Delba,,,
Georges Genin,CANTANTE,Georges Genin,,,
Gertrudis Forster,CANTANTE,Gertrudis Forster,,,
Gina Dinesen,CANTANTE,Gina Dinesen,,,
Gina Montti,CANTANTE,Gina Montti,,,
Gisa Bergmann,CANTANTE,Gisa Bergmann,,,
Gisy Kacor,CANTANTE,Gisy Kacor,,,
Grace Gordon,CANTANTE,Grace Gordon,,,
Graciela,CANTANTE,Graciela,,,
Grete Sedlitz,CANTANTE,Grete Sedlitz,,,
Grete Welz,CANTANTE,Grete Welz,,,
Guadalupe Garei,CANTANTE,Guadalupe Garei,,Extraído de combinación: Guadalupe Garei-Nuño,
Guadalupe Garei-Nuño,CANTANTE,Guadalupe Garei-Nuño,,Combinación de artistas,
Guerrita,CANTANTE,Guerrita,,,
Hans Depser,CANTANTE,Hans Depser,,,
Hans Heinz Bollmann,CANTANTE,Hans Heinz Bollmann,,,
Hermanas Mori,CANTANTE,Hermanas Mori,,,
Hermelinda de Montessa,CANTANTE,Hermelinda de Montessa,,,
Herminia Velasco,CANTANTE,Herminia Velasco,,,
Hilario Azcona,CANTANTE,Hilario Azcona,,,
Hipólito Lázaro,CANTANTE,Hipólito Lázaro,,,
Ilonka Lévay,CANTANTE,Ilonka Lévay,,,
Imperio Argentina,CANTANTE,Imperio Argentina,,,
Irene Ambrús,CANTANTE,Irene Ambrús,,,
Irene de Lala,CANTANTE,Irene de Lala,,,
Irm Schloss,CANTANTE,Irm Schloss,,,
Irma Godan,CANTANTE,Irma Godan,,,
Irma Rea,CANTANTE,Irma Rea,,,
Isabel Clemente,CANTANTE,Isabel Clemente,,,
Isabel Soria,CANTANTE,Isabel Soria,,,
Isabel Soriano,CANTANTE,Isabel Soriano,,,
Isabel Sánchez,CANTANTE,Isabel Sánchez,,,Isabel Sánchez Escribano
Isabel Sánchez Escribano,CANTANTE,Isabel Sánchez Escribano,,,
Jacjie Heller,CANTANTE,Jacjie Heller,,,
Jaime Ferre,CANTANTE,Jaime Ferre,,,
Jeannette Vreeland,CANTANTE,Jeannette Vreeland,,,
Jesús Freire,CANTANTE,Jesús Freire,,,
Jesús García,CANTANTE,Jesús García,,,
Jesús Gaviria,CANTANTE,Jesús Gaviria,,,
Joaquina Carreras,CANTANTE,Joaquina Carreras,,,
John McCormack,CANTANTE,John McCormack,,,
Jose Luis Lloret,CANTANTE,Jose Luis Lloret,,,
José Angerri,CANTANTE,José Angerri,,,
José Antonio Rincón,CANTANTE,José Antonio Rincón,,,
"José Blanco ""Niño de Chamberí""",CANTANTE,José Blanco,,Apodo: Niño de Chamberí,
José Cerceda,CANTANTE,José Cerceda,,,
José Cors,CANTANTE,José Cors,,,
José de Luna,CANTANTE,José de Luna,,,
José Freire,CANTANTE,José Freire,,,
José Orellana,CANTANTE,José Orellana,,,
Juan Arnó,CANTANTE,Juan Arnó,,,
Juan García,CANTANTE,Juan García,,,
Juan José Aguirreche,CANTANTE,Juan José Aguirreche,,,
Juan Molina Marqués,CANTANTE,Juan Molina Marqués,,,
Juan Pulido,CANTANTE,Juan Pulido,,,
Juan Roldán,CANTANTE,Juan Roldán,,,
Juan Rosich,CANTANTE,Juan Rosich,,,
Julia Fons,CANTANTE,Julia Fons,,,
Kathe Smith,CANTANTE,Kathe Smith,,,
Keoni Manutati,CANTANTE,Keoni Manutati,,,
La Argentinita,CANTANTE,La Argentinita,,,
La Yankee,CANTANTE,La Yankee,,,
Laura de Santelmo,CANTANTE,Laura de Santelmo,,,
Laura Nieto,CANTANTE,Laura Nieto,,,
Laura Pinillos,CANTANTE,Laura Pinillos,,,
Lee Wiley,CANTANTE,Lee Wiley,,,
Leopoldo Verdaguer,CANTANTE,Leopoldo Verdaguer,,,
Lillian Harvey,CANTANTE,Lillian Harvey,,,
Lillian Taiz,CANTANTE,Lillian Taiz,,,
Lola Gessa,CANTANTE,Lola Gessa,,,
Lotte Lehmann,CANTANTE,Lotte Lehmann,,,
Lotte Leonord,CANTANTE,Lotte Leonord,,,
Lourdes Ruiz,CANTANTE,Lourdes Ruiz,,,
Lucilla Long,CANTANTE,Lucilla Long,,,
Lucio González,CANTANTE,Lucio González,,,
Luis Almodóvar,CANTANTE,Luis Almodóvar,,,
Luis Heredia,CANTANTE,Luis Heredia,,,
Luis Sagi Vela,CANTANTE,Luis Sagi Vela,,,
Luisa Espinosa,CANTANTE,Luisa Espinosa,,,
Luisa Esteso,CANTANTE,Luisa Esteso,,,
Luisa Puchol,CANTANTE,Luisa Puchol,,,
Luise Helletsgruber,CANTANTE,Luise Helletsgruber,,,
Lupe Arozamena,CANTANTE,Lupe Arozamena,,,
Lupe Rivas,CANTANTE,Lupe Rivas,,,
Lupe Vélez,CANTANTE,Lupe Vélez,,,
Madame Guzante,CANTANTE,Madame Guzante,,,
Manolita Rosales,CANTANTE,Manolita Rosales,,,
Manolo Vargas,CANTANTE,Manolo Vargas,,,
Manuel Llamas,CANTANTE,Manuel Llamas,,,
"Manuel Rodríguez ""Niño de las Carolinas""",CANTANTE,Manuel Rodríguez,,Apodo: Niño de las Carolinas,
Manuel Villa,CANTANTE,Manuel Villa,,,
Marcia Antonia Sánchez,CANTANTE,Marcia Antonia Sánchez,,,
Marcos Cejudo,CANTANTE,Marcos Cejudo,,,
Marcos Redondo,CANTANTE,Marcos Redondo,,,
Margaret Mani,CANTANTE,Margaret Mani,,,
Margarita Carleys,CANTANTE,Margarita Carleys,,,
Margarita Chappuis,CANTANTE,Margarita Chappuis,,,
Margarita Cueto,CANTANTE,Margarita Cueto,,,
Margarita del Río,CANTANTE,Margarita del Río,,,
Margarita Fhys,CANTANTE,Margarita Fhys,,,
Margarita Soler,CANTANTE,Margarita Soler,,,
Maria Budanovits,CANTANTE,Maria Budanovits,,,
Maria Rita O'Farril,CANTANTE,Maria Rita O'Farril,,,
Marie Samson,CANTANTE,Marie Samson,,,
Marion Talley,CANTANTE,Marion Talley,,,
Maruja González,CANTANTE,Maruja González,,,
Maruja Sánchez,CANTANTE,Maruja Sánchez,,,
Mary Lou,CANTANTE,Mary Lou,,,
Mary Marini,CANTANTE,Mary Marini,,,
María Aldama,CANTANTE,María Aldama,,,
María Estremera,CANTANTE,María Estremera,,,
María Luisa Moneró,CANTANTE,María Luisa Moneró,,,
María Marco,CANTANTE,María Marco,,,
María Téllez,CANTANTE,María Téllez,,,
María Valverde,CANTANTE,María Valverde,,,
Matilde Babalbescoa,CANTANTE,Matilde Babalbescoa,,,
Matilde Caturla,CANTANTE,Matilde Caturla,,,
Matilde Martín,CANTANTE,Matilde Martín,,,
Matilde Revenga,CANTANTE,Matilde Revenga,,,
Matilde Rivera,CANTANTE,Matilde Rivera,,,
Mercedes Dalvy,CANTANTE,Mercedes Dalvy,,,
Mercedes Fifi,CANTANTE,Mercedes Fifi,,,
Mercedes Melo,CANTANTE,Mercedes Melo,,,
Mercedes Serós,CANTANTE,Mercedes Serós,,,
Miguel Fleta,CANTANTE,Miguel Fleta,,,
Mischa de la Motte,CANTANTE,Mischa de la Motte,,,
Miss Dolly,CANTANTE,Miss Dolly,,,
Mona Lisa,CANTANTE,Mona Lisa,,,
Mª Carmen Fernández,CANTANTE,Mª Carmen Fernández,,,
Nazonina Farias,CANTANTE,Nazonina Farias,,,
Nino Martín,CANTANTE,Nino Martín,,,
Nita Guerri,CANTANTE,Nita Guerri,,,
Nuño,CANTANTE,Nuño,,Extraído de combinación: Guadalupe Garei-Nuño,
Ocaña,CANTANTE,Ocaña,,,Alberto Ocaña
Ofelia Nieto,CANTANTE,Ofelia Nieto,,,
Olga Pagani,CANTANTE,Olga Pagani,,,
Osorio,CANTANTE,Osorio,,,
Palmiro Matamoros,CANTANTE,Palmiro Matamoros,,,
Paquita Alcaraz,CANTANTE,Paquita Alcaraz,,,
Paquita Alfonso,CANTANTE,Paquita Alfonso,,,
Paquita Escribano,CANTANTE,Paquita Escribano,,,
Pastora Imperio,CANTANTE,Pastora Imperio,,,
Pedro Gil Marín,CANTANTE,Pedro Gil Marín,,,
Pena Rollán,CANTANTE,Pena Rollán,,,
Pepita Rollán,CANTANTE,Pepita Rollán,,,
Pepita Samper,CANTANTE,Pepita Samper,,,
Pia Igy,CANTANTE,Pia Igy,,,
Pilar Albero,CANTANTE,Pilar Albero,,,
Pilar Carlo,CANTANTE,Pilar Carlo,,,
Pilar Muñoz,CANTANTE,Pilar Muñoz,,,
Purificación de la Torre,CANTANTE,Purificación de la Torre,,,
Rafael Lanes,CANTANTE,Rafael Lanes,,,
Rafael Nieto,CANTANTE,Rafael Nieto,,,
Ramón Peña,CANTANTE,Ramón Peña,,,
Raquel Meller,CANTANTE,Raquel Meller,,,
Remy Elsa,CANTANTE,Remy Elsa,,,
René Izquierdo,CANTANTE,René Izquierdo,,,
Ricardo Blanco,CANTANTE,Ricardo Blanco,,,
Ricardo C. De Lara,CANTANTE,Ricardo C. De Lara,,,
Ricardo Stracciari,CANTANTE,Ricardo Stracciari,barítono,,
Roberto Rey,CANTANTE,Roberto Rey,,,
Roland Hayes,CANTANTE,Roland Hayes,,,
Román Zorzano,CANTANTE,Román Zorzano,,,
Rosa Cadenas,CANTANTE,Rosa Cadenas,,,
Rosa Díez,CANTANTE,Rosa Díez,,,
Rosa Hermosilla,CANTANTE,Rosa Hermosilla,,,
Rosario Agueda,CANTANTE,Rosario Agueda,,,
Rosich,CANTANTE,Rosich,,,Juan Rosich
Salud Ruiz,CANTANTE,Salud Ruiz,,,
Sammy Lee,CANTANTE,Sammy Lee,,,
Sancho Fuentes,CANTANTE,Sancho Fuentes,,,
Sara Insúa,CANTANTE,Sara Insúa,,,
Sarah Fenor,CANTANTE,Sarah Fenor,,,
Silvia Serolf,CANTANTE,Silvia Serolf,,,
Simona Medina,CANTANTE,Simona Medina,,,
Sobinof,CANTANTE,Sobinof,tenor,,
Sofía Massalska,CANTANTE,Sofía Massalska,,,
Solita Sanahuja,CANTANTE,Solita Sanahuja,,,
Stern,CANTANTE,Stern,,,
Suzzette Isor,CANTANTE,Suzzette Isor,,,
Sélica Pérez,CANTANTE,Sélica Pérez,,,
Teresa Pérez Cano,CANTANTE,Teresa Pérez Cano,,,
Teresa Vargas,CANTANTE,Teresa Vargas,,,
Tino Folgar,CANTANTE,Tino Folgar,,,
Torres y Calvo,CANTANTE,Torres y Calvo,,,
Valeriano León,CANTANTE,Valeriano León,,,
William M. Nani,CANTANTE,William M. Nani,,,
Wischniewsky,CANTANTE,Wischniewsky,,,
Zoila Galvez,CANTANTE,Zoila Galvez,,,
Ángeles Novalón,CANTANTE,Ángeles Novalón,,,
Ángeles Ottein,CANTANTE,Ángeles Ottein,,,
Abelardo Corvino,COMPOSITOR,Abelardo Corvino,,,
Adolfo Salazar,COMPOSITOR,Adolfo Salazar,,,
Aguirre,COMPOSITOR,Aguirre,,,Celestino Aguirre Sarobe
Albisi,COMPOSITOR,Albisi,,,
Albéniz,COMPOSITOR,Albéniz,,,Isaac Albéniz
Albéniz-Arbós,COMPOSITOR,Albéniz-Arbós,,Combinación de artistas,
Aleksandr Borodín,COMPOSITOR,Aleksandr Borodín,,,
Aleksandr Glazunov,COMPOSITOR,Aleksandr Glazunov,,,
Alessandro Scarlatti,COMPOSITOR,Alessandro Scarlatti,,,
Allende,COMPOSITOR,Allende,,,
Amadeo Vives,COMPOSITOR,Amadeo Vives,,,
Amilcare Ponchielli,COMPOSITOR,Amilcare Ponchielli,,,
Anthony Bernard,COMPOSITOR,Anthony Bernard,,,
Antonín Dvořák,COMPOSITOR,Antonín Dvořák,,,
Arbós,COMPOSITOR,Arbós,,Extraído de combinación: Albéniz-Arbós,Fernández Arbós
Arcangelo Corelli,COMPOSITOR,Arcangelo Corelli,,,
Arnold Schoenberg,COMPOSITOR,Arnold Schoenberg,,,
Arrigo Boito,COMPOSITOR,Arrigo Boito,,,
Arthur Honegger,COMPOSITOR,Arthur Honegger,,,
Bach,COMPOSITOR,Bach,,Extraído de combinación: Bach-Busoni,
Bach-Busoni,COMPOSITOR,Bach-Busoni,,Combinación de artistas,
Badler,COMPOSITOR,Badler,,,
Bartolomé Pérez Casas,COMPOSITOR,Bartolomé Pérez Casas,,Extraído de combinación: Bartolomé Pérez Casas / Manuel de Falla,
Bartolomé Pérez Casas / Manuel de Falla,COMPOSITOR,Bartolomé Pérez Casas / Manuel de Falla,,Combinación de artistas,
Bartók,COMPOSITOR,Bartók,,Extraído de combinación: Bartók / Mussorgsky,Béla Bartók
Bartók / Mussorgsky,COMPOSITOR,Bartók / Mussorgsky,,Combinación de artistas,
Bassa,COMPOSITOR,Bassa,,,
Beethoven,COMPOSITOR,Beethoven,,Extraído de combinación: Beethoven-Eiman,Ludwig van Beethoven
Beethoven-Eiman,COMPOSITOR,Beethoven-Eiman,,Combinación de artistas,
Benedetto Marcello,COMPOSITOR,Benedetto Marcello,,,
Blas Serrano,COMPOSITOR,Blas Serrano,,,
Boccherini,COMPOSITOR,Boccherini,,,
Boellmann,COMPOSITOR,Boellmann,,,
Brahms,COMPOSITOR,Brahms,,Extraído de combinación: Gluck-Brahms,Johannes Brahms
Breval,COMPOSITOR,Breval,,,
Busoni,COMPOSITOR,Busoni,,Extraído de combinación: Bach-Busoni,
Byrd,COMPOSITOR,Byrd,,,
Béla Bartók,COMPOSITOR,Béla Bartók,,,
C. Pedrell,COMPOSITOR,C. Pedrell,,,
Cakeval,COMPOSITOR,Cakeval,,,
Camille Saint-Saëns,COMPOSITOR,Camille Saint-Saëns,,,
Cantallos,COMPOSITOR,Cantallos,,,
Carl Maria von Weber,COMPOSITOR,Carl Maria von Weber,,,
Cassadó,COMPOSITOR,Cassadó,,Extraído de combinación: Frescobaldi-Cassadó,Gaspar Cassadó
Castelnuovo,COMPOSITOR,Castelnuovo,,,Castelnuovo-Tedesco
Castelnuovo-Tedesco,COMPOSITOR,Castelnuovo-Tedesco,,,
Cesti,COMPOSITOR,Cesti,,,
Chabrier,COMPOSITOR,Chabrier,,,
Charles Gounod,COMPOSITOR,Charles Gounod,,,
Chopin,COMPOSITOR,Chopin,,Extraído de combinación: Chopin-Liszt,Frédéric Chopin
Chopin-Liszt,COMPOSITOR,Chopin-Liszt,,Combinación de artistas,
Chopin-Wilhelmy,COMPOSITOR,Chopin-Wilhelmy,,Combinación de artistas,
Choumoff,COMPOSITOR,Choumoff,,,
Christian Sinding,COMPOSITOR,Christian Sinding,,,
Christoph Willibald Gluck,COMPOSITOR,Christoph Willibald Gluck,,,
Claude Debussy,COMPOSITOR,Claude Debussy,,,
Clementi,COMPOSITOR,Clementi,,,
Conrado del Campo,COMPOSITOR,Conrado del Campo,,,
César Franck,COMPOSITOR,César Franck,,,
Darius Milhaud,COMPOSITOR,Darius Milhaud,,,
David Popper,COMPOSITOR,David Popper,,,
Davidoff,COMPOSITOR,Davidoff,,,
Domenico Cimarosa,COMPOSITOR,Domenico Cimarosa,,,
Dunkler,COMPOSITOR,Dunkler,,,
Duparc,COMPOSITOR,Duparc,,,
Durón,COMPOSITOR,Durón,,,
E. Bloch,COMPOSITOR,E. Bloch,,,
Eccles,COMPOSITOR,Eccles,,,
